Timestamp,ActionType,ActionDetail,TurnPhase,IsMyTurn,PlayerID,PlayerHP,PlayerCP,OpponentHP,OpponentCP,PlayerPosTokens,PlayerNegTokens,OppPosTokens,OppNegTokens,BoardDice,RollsLeft,HandSize,OpponentHandSize,CardsInHand
21-06-2026 14:14:21,PlayCard,Six It!,OffensiveRollPhase,1,2,26,2,35,1,7,0,0,0,1|6|6|6|4,1,4,5,Yibambe!|Six It!|Samesies!|Vibin'!
21-06-2026 14:14:47,PlayCard,Samesies!,OffensiveRollPhase,1,2,26,1,35,1,7,0,0,0,1|6|6|6|6,1,3,5,Yibambe!|Samesies!|Vibin'!
21-06-2026 14:14:50,ActivateOffense,Wakanda Forever,OffensiveRollPhase,1,2,26,0,35,1,7,0,0,0,6|6|6|6|6,1,2,5,Yibambe!|Vibin'!
21-06-2026 14:14:59,PassPriority,None,OffensiveRollPhase,0,1,35,1,26,0,0,0,7,0,6|6|6|6|6,1,5,2,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:15:00,PassPriority,None,OffensiveRollPhase,1,2,26,0,35,1,7,0,0,0,6|6|6|6|6,1,2,5,Yibambe!|Vibin'!
21-06-2026 14:15:03,PassPriority,None,DefensiveRollPhase,0,1,30,1,26,2,0,0,1,0,0|0|0|0|0,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:15:04,PassPriority,None,DefensiveRollPhase,1,2,26,2,30,1,1,0,0,0,0|0|0|0|0,1,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:16:44,PassPriority,None,MainPhase2,1,2,26,2,19,1,1,0,0,0,0|0|0|0|0,0,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:16:44,PassPriority,None,MainPhase2,0,1,19,1,26,2,0,0,1,0,0|0|0|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:16:53,PlayCard,Vegas; Baby!,MainPhase1,1,1,19,2,26,2,0,0,1,0,0|0|0|0|0,0,6,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!|Vegas; Baby!
21-06-2026 14:16:53,AutomaticSecondaryRoll,RollsLeft:1,MainPhase1,1,1,19,2,26,2,0,0,1,0,0|0|0|0|0,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:29,PassPriority,None,MainPhase1,1,1,19,3,26,2,0,0,1,0,0|0|0|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:29,PassPriority,None,MainPhase1,0,2,26,2,19,3,1,0,0,0,0|0|0|0|0,0,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:18:30,InitialPhaseRoll,RollsLeft:3,OffensiveRollPhase,1,1,19,3,26,2,0,0,1,0,0|0|0|0|0,3,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:31,LockDie,DieIndex:1_Value:6,OffensiveRollPhase,1,1,19,3,26,2,0,0,1,0,1|6|5|1|3,2,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:32,PhaseReroll,RollsLeft:2,OffensiveRollPhase,1,1,19,3,26,2,0,0,1,0,1|6|5|1|3,2,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:33,LockDie,DieIndex:4_Value:6,OffensiveRollPhase,1,1,19,3,26,2,0,0,1,0,5|6|4|4|6,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:34,PhaseReroll,RollsLeft:1,OffensiveRollPhase,1,1,19,3,26,2,0,0,1,0,5|6|4|4|6,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:36,ActivateOffense,C-C-C-Combo,OffensiveRollPhase,1,1,19,3,26,2,0,0,1,0,1|6|1|1|6,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:46,PassPriority,None,OffensiveRollPhase,0,2,26,2,19,3,1,0,0,0,1|6|1|1|6,0,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:18:47,PassPriority,None,OffensiveRollPhase,1,1,19,3,26,2,0,0,1,0,1|6|1|1|6,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:47,ActivateDefense,Bashenga Honor,DefensiveRollPhase,0,2,26,2,19,3,1,0,1,0,0|0|0|0|0,1,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:18:47,InitialPhaseRoll,RollsLeft:1,DefensiveRollPhase,0,2,26,2,19,3,1,0,1,0,0|0|0|0|0,1,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:18:50,SpendToken,Vibranium Suit,DefensiveRollPhase,0,2,26,2,19,3,1,0,1,0,5|6|4|0|0,0,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:18:52,PassPriority,None,DefensiveRollPhase,1,1,19,3,26,2,1,0,0,0,5|6|4|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:18:59,SpendToken,Combo,DefensiveRollPhase,1,1,19,3,26,2,1,0,0,0,5|6|4|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:19:00,PassPriority,None,DefensiveRollPhase,0,2,26,2,19,3,0,0,0,0,5|6|4|0|0,0,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:19:01,PassPriority,None,DefensiveRollPhase,1,1,19,3,26,2,0,0,0,0,5|6|4|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:19:02,PassPriority,None,DefensiveRollPhase,1,1,19,3,26,2,0,0,0,0,5|6|4|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:19:02,PassPriority,None,DefensiveRollPhase,0,2,26,2,19,3,0,0,0,0,5|6|4|0|0,0,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:19:03,PassPriority,None,DefensiveRollPhase,1,1,19,3,26,2,0,0,0,0,5|6|4|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:19:04,PassPriority,None,DefensiveRollPhase,0,2,26,2,19,3,0,0,0,0,5|6|4|0|0,0,4,5,Yibambe!|Vibin'!|Stealth Strike II|Heart Shaped Herb II
21-06-2026 14:19:18,InitialPhaseRoll,RollsLeft:3,OffensiveRollPhase,1,1,19,3,24,2,0,0,1,0,0|0|0|0|0,3,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
